                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1806,                0.37313,                      1,                 1.0212,              4.998e-05,              4.998e-05,              4.998e-05
                      2,                 1.1232,                0.53731,                      1,                 1.0278,             9.6497e-05,             9.6497e-05,             9.6497e-05
                      3,                 1.1785,                0.49254,                      1,                0.97412,              0.0001317,              0.0001317,              0.0001317
                      4,                0.98168,                0.53731,                      1,                0.94922,              0.0001556,              0.0001556,              0.0001556
                      5,                0.93031,                0.62687,                      1,                0.97445,             0.00016819,             0.00016819,             0.00016819
                      6,                 0.8133,                0.62687,                      1,                0.98682,             0.00016947,             0.00016947,             0.00016947
                      7,                0.84312,                0.68657,                      1,                 1.0176,             0.00015944,             0.00015944,             0.00015944
                      8,                0.81062,                0.73134,                      1,                0.91764,             0.00013809,             0.00013809,             0.00013809
                      9,                0.77026,                0.71642,                      1,                0.95231,             0.00010544,             0.00010544,             0.00010544
                     10,                0.75202,                0.73134,                      1,                0.89323,             6.1483e-05,             6.1483e-05,             6.1483e-05
                      1,                 5.6216,                0.10277,                0.17538,                 5.6123,              0.0033259,              0.0033259,              0.0033259
                      2,                 4.8772,                0.17768,                 0.2988,                 5.5491,              0.0065933,              0.0065933,              0.0065933
                      3,                  4.486,                0.16391,                0.29159,                 5.5468,              0.0097947,              0.0097947,              0.0097947
                      4,                 4.3041,                0.21636,                0.34912,                 5.5124,               0.009703,               0.009703,               0.009703
                      5,                 4.0549,                0.22849,                0.36912,                 5.4981,               0.009703,               0.009703,               0.009703
                      6,                 3.8354,                0.24062,                0.38649,                 5.4807,               0.009604,               0.009604,               0.009604
                      7,                 3.6773,                0.24766,                0.39436,                 5.4748,               0.009505,               0.009505,               0.009505
                      8,                 3.5457,                0.25422,                0.40223,                 5.4646,               0.009406,               0.009406,               0.009406
                      9,                 3.3894,                0.26684,                0.40649,                 5.4508,               0.009307,               0.009307,               0.009307
                     10,                 3.2767,                0.27225,                0.40764,                 5.4451,               0.009208,               0.009208,               0.009208
                     11,                 3.2038,                0.27422,                0.41944,                 5.4457,               0.009109,               0.009109,               0.009109
                     12,                 3.0809,                0.26979,                 0.4178,                 5.4454,                0.00901,                0.00901,                0.00901
                     13,                   2.99,                 0.2811,                0.41993,                 5.4321,               0.008911,               0.008911,               0.008911
                     14,                 2.9153,                0.28454,                0.42534,                 5.4257,               0.008812,               0.008812,               0.008812
                     15,                  2.848,                0.28717,                0.43108,                 5.4253,               0.008713,               0.008713,               0.008713
                     16,                 2.7546,                0.29487,                0.43419,                 5.4182,               0.008614,               0.008614,               0.008614
                     17,                 2.6959,                 0.2988,                0.44058,                 5.4154,               0.008515,               0.008515,               0.008515
                     18,                  2.623,                0.30257,                 0.4378,                 5.4078,               0.008416,               0.008416,               0.008416
                     19,                 2.5612,                0.30323,                 0.4414,                 5.4048,               0.008317,               0.008317,               0.008317
                     20,                 2.5209,                0.30716,                0.44566,                 5.4013,               0.008218,               0.008218,               0.008218
                     21,                 2.4319,                0.30175,                0.44189,                 5.4011,               0.008119,               0.008119,               0.008119
