                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2747,                0.08333,                    0.5,                 2.3223,                      0,                      0,                      0
                      2,                 2.3451,                0.08333,                    0.5,                 2.3203,             7.0693e-06,             7.0693e-06,             7.0693e-06
                      3,                 2.1265,                      0,                    0.5,                 2.3184,             1.3997e-05,             1.3997e-05,             1.3997e-05
                      4,                 2.2542,                      0,                    0.5,                 2.3184,             2.0784e-05,             2.0784e-05,             2.0784e-05
                      5,                 2.2701,                      0,                    0.5,                 2.3184,             2.7429e-05,             2.7429e-05,             2.7429e-05
                      6,                 2.3211,                      0,                0.41667,                 2.3164,             3.3933e-05,             3.3933e-05,             3.3933e-05
                      7,                 2.1602,                      0,                0.41667,                 2.3144,             4.0295e-05,             4.0295e-05,             4.0295e-05
                      8,                 2.1712,                      0,                0.41667,                 2.3144,             4.6516e-05,             4.6516e-05,             4.6516e-05
                      9,                 2.1791,                      0,                0.41667,                 2.3125,             5.2596e-05,             5.2596e-05,             5.2596e-05
                     10,                 2.1724,                0.08333,                0.33333,                 2.3125,             5.8534e-05,             5.8534e-05,             5.8534e-05
                     11,                 2.0843,                0.08333,                0.33333,                 2.3106,             6.4331e-05,             6.4331e-05,             6.4331e-05
                     12,                 1.9478,                0.08333,                0.41667,                 2.3106,             6.9987e-05,             6.9987e-05,             6.9987e-05
                     13,                  2.055,                0.08333,                0.41667,                 2.3086,             7.5501e-05,             7.5501e-05,             7.5501e-05
                     14,                 1.7734,                0.08333,                0.41667,                 2.3106,             8.0874e-05,             8.0874e-05,             8.0874e-05
                     15,                 1.9145,                0.08333,                0.41667,                 2.3106,             8.6106e-05,             8.6106e-05,             8.6106e-05
                     16,                 1.8883,                0.08333,                    0.5,                 2.3086,             9.1196e-05,             9.1196e-05,             9.1196e-05
                     17,                 1.9062,                0.08333,                    0.5,                 2.3086,             9.6144e-05,             9.6144e-05,             9.6144e-05
                     18,                 1.9534,                0.08333,                    0.5,                 2.3086,             0.00010095,             0.00010095,             0.00010095
                     19,                 1.7069,                0.08333,                    0.5,                 2.3086,             0.00010562,             0.00010562,             0.00010562
                     20,                 1.7265,                0.08333,                    0.5,                 2.3086,             0.00011014,             0.00011014,             0.00011014
                     21,                 1.8201,                0.08333,                    0.5,                 2.3086,             0.00011453,             0.00011453,             0.00011453
                     22,                 1.7065,                0.08333,                    0.5,                 2.3086,             0.00011877,             0.00011877,             0.00011877
                     23,                 1.7253,                0.08333,                    0.5,                 2.3086,             0.00012287,             0.00012287,             0.00012287
                     24,                 1.7677,                0.08333,                    0.5,                 2.3086,             0.00012683,             0.00012683,             0.00012683
                     25,                 1.6663,                0.08333,                    0.5,                 2.3066,             0.00013064,             0.00013064,             0.00013064
                     26,                  1.624,                0.08333,                    0.5,                 2.3066,             0.00013432,             0.00013432,             0.00013432
                     27,                 1.4447,                0.08333,                    0.5,                 2.3027,             0.00013786,             0.00013786,             0.00013786
                     28,                 1.4317,                0.08333,                    0.5,                 2.3027,             0.00014125,             0.00014125,             0.00014125
                     29,                 1.5723,                0.08333,                    0.5,                 2.3027,              0.0001445,              0.0001445,              0.0001445
                     30,                 1.3936,                0.08333,                    0.5,                 2.3027,             0.00014761,             0.00014761,             0.00014761
                     31,                 1.4504,                0.08333,                0.41667,                 2.3027,             0.00015058,             0.00015058,             0.00015058
                     32,                 1.3879,                0.08333,                0.41667,                 2.3027,             0.00015341,             0.00015341,             0.00015341
                     33,                  1.563,                0.08333,                0.41667,                 2.3027,              0.0001561,              0.0001561,              0.0001561
                     34,                 1.3051,                0.08333,                0.41667,                 2.3027,             0.00015864,             0.00015864,             0.00015864
                     35,                 1.2865,                0.08333,                0.33333,                 2.3047,             0.00016105,             0.00016105,             0.00016105
                     36,                 1.2131,                0.08333,                0.33333,                 2.3047,             0.00016331,             0.00016331,             0.00016331
                     37,                 1.2574,                0.08333,                0.33333,                 2.3047,             0.00016543,             0.00016543,             0.00016543
                     38,                 1.1474,                0.08333,                0.33333,                 2.3047,             0.00016741,             0.00016741,             0.00016741
                     39,                 1.3492,                0.08333,                0.41667,                 2.3027,             0.00016925,             0.00016925,             0.00016925
                     40,                 1.0564,                0.08333,                0.41667,                 2.3027,             0.00017095,             0.00017095,             0.00017095
                     41,                 1.0942,                0.08333,                0.33333,                 2.3027,              0.0001725,              0.0001725,              0.0001725
                     42,                 1.0409,                0.08333,                0.33333,                 2.3027,             0.00017392,             0.00017392,             0.00017392
                     43,                 1.0031,                0.08333,                0.33333,                 2.3047,             0.00017519,             0.00017519,             0.00017519
                     44,                0.99677,                0.08333,                0.33333,                 2.3047,             0.00017632,             0.00017632,             0.00017632
                     45,                 0.8763,                0.08333,                0.33333,                 2.3027,             0.00017731,             0.00017731,             0.00017731
                     46,                0.87612,                0.08333,                0.33333,                 2.3027,             0.00017816,             0.00017816,             0.00017816
                     47,                 1.0383,                0.08333,                0.41667,                 2.3008,             0.00017887,             0.00017887,             0.00017887
                     48,                0.99659,                0.08333,                0.41667,                 2.3008,             0.00017943,             0.00017943,             0.00017943
                     49,                 1.0961,                0.08333,                0.58333,                 2.2988,             0.00017986,             0.00017986,             0.00017986
                     50,                0.93848,                0.08333,                0.58333,                 2.2988,             0.00018014,             0.00018014,             0.00018014
                     51,                0.98769,                0.08333,                0.58333,                 2.2988,             0.00018028,             0.00018028,             0.00018028
                     52,                0.70433,                0.08333,                0.58333,                 2.2988,             0.00018029,             0.00018029,             0.00018029
                     53,                0.78868,                0.08333,                0.58333,                 2.2988,             0.00018015,             0.00018015,             0.00018015
                     54,                0.78227,                0.16667,                0.58333,                 2.2949,             0.00017986,             0.00017986,             0.00017986
                     55,                0.81465,                0.16667,                0.58333,                 2.2949,             0.00017944,             0.00017944,             0.00017944
                     56,                0.84749,                0.16667,                0.58333,                 2.2949,             0.00017887,             0.00017887,             0.00017887
                     57,                0.68984,                0.16667,                0.58333,                 2.2949,             0.00017817,             0.00017817,             0.00017817
                     58,                0.75999,                0.16667,                0.58333,                 2.2949,             0.00017732,             0.00017732,             0.00017732
                     59,                0.79763,                0.16667,                0.58333,                 2.2949,             0.00017633,             0.00017633,             0.00017633
                     60,                0.79215,                0.16667,                0.58333,                  2.293,              0.0001752,              0.0001752,              0.0001752
                     61,                0.68078,                0.16667,                0.58333,                  2.293,             0.00017393,             0.00017393,             0.00017393
                     62,                0.63329,                0.16667,                0.58333,                  2.293,             0.00017252,             0.00017252,             0.00017252
                     63,                0.66963,                0.16667,                0.58333,                  2.293,             0.00017096,             0.00017096,             0.00017096
                     64,                 0.7103,                0.16667,                0.58333,                  2.293,             0.00016927,             0.00016927,             0.00016927
                     65,                0.67915,                0.16667,                0.58333,                  2.293,             0.00016743,             0.00016743,             0.00016743
                     66,                0.58684,                0.16667,                0.58333,                  2.293,             0.00016545,             0.00016545,             0.00016545
                     67,                0.59699,                0.16667,                0.58333,                  2.293,             0.00016333,             0.00016333,             0.00016333
                     68,                0.57279,                0.16667,                0.58333,                  2.293,             0.00016107,             0.00016107,             0.00016107
                     69,                0.78173,                0.16667,                0.58333,                  2.291,             0.00015867,             0.00015867,             0.00015867
                     70,                0.63116,                0.16667,                0.58333,                  2.291,             0.00015612,             0.00015612,             0.00015612
                     71,                0.61915,                0.16667,                0.58333,                  2.291,             0.00015344,             0.00015344,             0.00015344
                     72,                0.58121,                0.16667,                0.58333,                 2.2891,             0.00015061,             0.00015061,             0.00015061
                     73,                0.45391,                0.16667,                0.58333,                 2.2891,             0.00014764,             0.00014764,             0.00014764
                     74,                 0.5557,                0.16667,                0.58333,                 2.2891,             0.00014453,             0.00014453,             0.00014453
                     75,                0.67736,                0.08333,                0.58333,                 2.2891,             0.00014128,             0.00014128,             0.00014128
