Classification report:
               precision    recall  f1-score      support
8              0.999193  0.869382  0.929778  1424.000000
208            0.845304  0.806962  0.825688   948.000000
235            0.861660  0.798535  0.828897   273.000000
275            1.000000  0.082251  0.152000   231.000000
49             0.965517  0.500000  0.658824   112.000000
284            0.939759  0.886364  0.912281    88.000000
90             0.975610  0.963855  0.969697    83.000000
241            0.972973  0.500000  0.660550    72.000000
132            0.980392  0.746269  0.847458    67.000000
109            0.875000  0.792453  0.831683    53.000000
70             0.571429  0.170213  0.262295    47.000000
74             0.666667  0.187500  0.292683    32.000000
203            0.714286  0.250000  0.370370    20.000000
265            0.933333  0.777778  0.848485    18.000000
261            0.833333  0.555556  0.666667    18.000000
45             1.000000  0.062500  0.117647    16.000000
295            1.000000  0.333333  0.500000    12.000000
61             0.562500  0.818182  0.666667    11.000000
250            1.000000  0.100000  0.181818    10.000000
46             0.750000  0.666667  0.705882     9.000000
279            0.285714  0.222222  0.250000     9.000000
286            0.200000  0.222222  0.210526     9.000000
37             0.428571  0.750000  0.545455     8.000000
258            0.750000  1.000000  0.857143     6.000000
207            0.000000  0.000000  0.000000     6.000000
124            0.000000  0.000000  0.000000     6.000000
28             1.000000  0.600000  0.750000     5.000000
22             0.333333  0.800000  0.470588     5.000000
246            0.750000  0.600000  0.666667     5.000000
179            0.666667  0.500000  0.571429     4.000000
88             0.000000  0.000000  0.000000     4.000000
105            0.500000  0.250000  0.333333     4.000000
98             0.666667  1.000000  0.800000     4.000000
248            0.666667  0.666667  0.666667     3.000000
293            1.000000  0.333333  0.500000     3.000000
193            1.000000  0.333333  0.500000     3.000000
104            0.200000  0.666667  0.307692     3.000000
247            0.000000  0.000000  0.000000     2.000000
255            0.000000  0.000000  0.000000     2.000000
92             0.000000  0.000000  0.000000     2.000000
278            1.000000  0.500000  0.666667     2.000000
44             1.000000  0.500000  0.666667     2.000000
86             0.400000  1.000000  0.571429     2.000000
111            0.500000  0.500000  0.500000     2.000000
101            0.000000  0.000000  0.000000     2.000000
76             0.000000  0.000000  0.000000     2.000000
294            0.500000  1.000000  0.666667     1.000000
232            0.000000  0.000000  0.000000     1.000000
242            0.500000  1.000000  0.666667     1.000000
53             0.058824  1.000000  0.111111     1.000000
57             1.000000  1.000000  1.000000     1.000000
95             1.000000  1.000000  1.000000     1.000000
205            0.000000  0.000000  0.000000     1.000000
139            0.000000  0.000000  0.000000     1.000000
114            0.000000  0.000000  0.000000     1.000000
134            0.250000  1.000000  0.400000     1.000000
accuracy       0.736813  0.736813  0.736813     0.736813
macro avg      0.136610  0.116222  0.110247  3659.000000
weighted avg   0.912089  0.736813  0.785836  3659.000000
