,precision,recall,f1-score,support
8,0.997716894977169,0.890625,0.9411342426417805,1472.0
208,0.8903002309468823,0.8124341412012644,0.8495867768595041,949.0
235,0.8517110266159695,0.7887323943661971,0.8190127970749542,284.0
275,1.0,0.06086956521739131,0.11475409836065573,230.0
49,0.9855072463768116,0.6017699115044248,0.7472527472527474,113.0
284,0.898876404494382,0.8602150537634409,0.8791208791208791,93.0
90,0.9746835443037974,0.9506172839506173,0.9625,81.0
132,0.9615384615384616,0.704225352112676,0.8130081300813008,71.0
241,0.972972972972973,0.5294117647058824,0.6857142857142857,68.0
109,0.9166666666666666,0.8,0.854368932038835,55.0
70,0.5,0.15555555555555556,0.23728813559322035,45.0
74,0.5833333333333334,0.22580645161290322,0.3255813953488372,31.0
203,0.5555555555555556,0.21739130434782608,0.3125,23.0
261,0.9230769230769231,0.5454545454545454,0.6857142857142856,22.0
265,1.0,0.6190476190476191,0.7647058823529412,21.0
45,1.0,0.07692307692307693,0.14285714285714288,13.0
61,0.625,0.8333333333333334,0.7142857142857143,12.0
286,1.0,0.2,0.33333333333333337,10.0
295,1.0,0.4,0.5714285714285715,10.0
250,1.0,0.1111111111111111,0.19999999999999998,9.0
279,0.25,0.25,0.25,8.0
37,0.35,0.875,0.4999999999999999,8.0
28,0.8,0.5714285714285714,0.6666666666666666,7.0
124,0.0,0.0,0.0,6.0
258,0.5454545454545454,1.0,0.7058823529411764,6.0
207,0.0,0.0,0.0,6.0
46,0.75,1.0,0.8571428571428571,6.0
105,0.3333333333333333,0.2,0.25,5.0
22,0.3333333333333333,0.8,0.47058823529411764,5.0
246,0.4,0.4,0.4000000000000001,5.0
98,0.6666666666666666,1.0,0.8,4.0
179,0.6666666666666666,0.5,0.5714285714285715,4.0
92,0.0,0.0,0.0,4.0
88,1.0,0.25,0.4,4.0
247,0.0,0.0,0.0,3.0
193,1.0,1.0,1.0,3.0
255,0.0,0.0,0.0,3.0
104,0.3,1.0,0.4615384615384615,3.0
248,0.6666666666666666,0.6666666666666666,0.6666666666666666,3.0
86,0.5,1.0,0.6666666666666666,2.0
101,0.0,0.0,0.0,2.0
76,0.0,0.0,0.0,2.0
44,1.0,0.5,0.6666666666666666,2.0
111,0.0,0.0,0.0,2.0
293,0.0,0.0,0.0,2.0
278,1.0,1.0,1.0,1.0
57,1.0,1.0,1.0,1.0
294,0.5,1.0,0.6666666666666666,1.0
95,1.0,1.0,1.0,1.0
242,0.5,1.0,0.6666666666666666,1.0
232,0.0,0.0,0.0,1.0
205,0.0,0.0,0.0,1.0
53,0.0625,1.0,0.11764705882352941,1.0
134,0.25,1.0,0.4,1.0
114,0.0,0.0,0.0,1.0
38,0.0,0.0,0.0,1.0
accuracy,0.7494635193133047,0.7494635193133047,0.7494635193133047,0.7494635193133047
macro avg,0.1364136817012127,0.12292908529135542,0.11315313803994675,3728.0
weighted avg,0.9212435806430637,0.7494635193133047,0.7975102545618322,3728.0
