Adidas: Class:8, Total images: 1909, fed into model: 1472, loss: 437
Nike: Class:208, Total images: 1103, fed into model: 949, loss: 154
Desigual: Class:70, Total images: 190, fed into model: 45, loss: 145
Tommy Hilfiger: Class:275, Total images: 366, fed into model: 230, loss: 136
Puma: Class:235, Total images: 353, fed into model: 284, loss: 69
Lacoste: Class:295, Total images: 57, fed into model: 10, loss: 47
Diesel: Class:74, Total images: 79, fed into model: 31, loss: 48
Calvin Klein: Class:49, Total images: 149, fed into model: 113, loss: 36
Reebok: Class:241, Total images: 99, fed into model: 68, loss: 31
Victoria's Secret: Class:286, Total images: 40, fed into model: 10, loss: 30
C&A: Class:45, Total images: 39, fed into model: 13, loss: 26
Next: Class:203, Total images: 55, fed into model: 23, loss: 32
Hummel: Class:132, Total images: 93, fed into model: 71, loss: 22
Triumph: Class:279, Total images: 25, fed into model: 8, loss: 17
Vans: Class:284, Total images: 105, fed into model: 93, loss: 12
Star Wars: Class:261, Total images: 30, fed into model: 22, loss: 8



Gap: Class:109, Total images: 62, fed into model: 55, loss: 7
Burberry: Class:44, Total images: 8, fed into model: 2, loss: 6
Disney Pixar: Class:76, Total images: 8, fed into model: 2, loss: 6
Nickelodeon: Class:207, Total images: 11, fed into model: 6, loss: 5
Sloggi: Class:255, Total images: 8, fed into model: 3, loss: 5
Ed Hardy: Class:86, Total images: 6, fed into model: 2, loss: 4
Morgan: Class:197, Total images: 4, fed into model: 0, loss: 4
Escada: Class:95, Total images: 5, fed into model: 1, loss: 4
CCM: Class:46, Total images: 10, fed into model: 6, loss: 4
Buffalo: Class:43, Total images: 3, fed into model: 0, loss: 3
Dolce & Gabbana: Class:79, Total images: 3, fed into model: 0, loss: 3
Springfield: Class:259, Total images: 3, fed into model: 0, loss: 3
Element: Class:88, Total images: 7, fed into model: 4, loss: 3
Hanes: Class:124, Total images: 9, fed into model: 6, loss: 3
G-Star: Class:105, Total images: 8, fed into model: 5, loss: 3
Fox: Class:101, Total images: 4, fed into model: 2, loss: 2
Russell: Class:247, Total images: 5, fed into model: 3, loss: 2
Zoo York: Class:294, Total images: 3, fed into model: 1, loss: 2
Boss: Class:37, Total images: 10, fed into model: 8, loss: 2
And1: Class:5, Total images: 2, fed into model: 0, loss: 2
Arena: Class:22, Total images: 7, fed into model: 5, loss: 2
Fusion: Class:104, Total images: 5, fed into model: 3, loss: 2
MP: Class:179, Total images: 6, fed into model: 4, loss: 2
Trespass: Class:278, Total images: 3, fed into model: 1, loss: 2
Always: Class:12, Total images: 8, fed into model: 0, loss: 8
Svea: Class:265, Total images: 30, fed into model: 21, loss: 9
Roxy: Class:246, Total images: 15, fed into model: 5, loss: 10
Los Angeles: Class:170, Total images: 1, fed into model: 0, loss: 1
Columbia: Class:61, Total images: 18, fed into model: 12, loss: 6
La Perla: Class:156, Total images: 1, fed into model: 0, loss: 1
Dixie: Class:77, Total images: 1, fed into model: 0, loss: 1
Nautica: Class:205, Total images: 1, fed into model: 1, loss: 0
Geox: Class:111, Total images: 2, fed into model: 2, loss: 0
Batman: Class:28, Total images: 7, fed into model: 7, loss: 0
Mizuno: Class:193, Total images: 3, fed into model: 3, loss: 0
Chicago: Class:57, Total images: 1, fed into model: 1, loss: 0
Reef: Class:242, Total images: 1, fed into model: 1, loss: 0
Cat: Class:53, Total images: 1, fed into model: 1, loss: 0
Bounce: Class:38, Total images: 1, fed into model: 1, loss: 0
Hurley: Class:134, Total images: 2, fed into model: 1, loss: 1
Salewa: Class:248, Total images: 4, fed into model: 3, loss: 1
Saucony: Class:250, Total images: 10, fed into model: 9, loss: 1
Detroit: Class:71, Total images: 1, fed into model: 0, loss: 1
Emilio: Class:92, Total images: 5, fed into model: 4, loss: 1
Zoggs: Class:293, Total images: 3, fed into model: 2, loss: 1
Givova: Class:114, Total images: 1, fed into model: 1, loss: 0
Everlast: Class:98, Total images: 4, fed into model: 4, loss: 0
