Classification report:
               precision    recall  f1-score      support
8              0.997717  0.890625  0.941134  1472.000000
208            0.890300  0.812434  0.849587   949.000000
235            0.851711  0.788732  0.819013   284.000000
275            1.000000  0.060870  0.114754   230.000000
49             0.985507  0.601770  0.747253   113.000000
284            0.898876  0.860215  0.879121    93.000000
90             0.974684  0.950617  0.962500    81.000000
132            0.961538  0.704225  0.813008    71.000000
241            0.972973  0.529412  0.685714    68.000000
109            0.916667  0.800000  0.854369    55.000000
70             0.500000  0.155556  0.237288    45.000000
74             0.583333  0.225806  0.325581    31.000000
203            0.555556  0.217391  0.312500    23.000000
261            0.923077  0.545455  0.685714    22.000000
265            1.000000  0.619048  0.764706    21.000000
45             1.000000  0.076923  0.142857    13.000000
61             0.625000  0.833333  0.714286    12.000000
286            1.000000  0.200000  0.333333    10.000000
295            1.000000  0.400000  0.571429    10.000000
250            1.000000  0.111111  0.200000     9.000000
279            0.250000  0.250000  0.250000     8.000000
37             0.350000  0.875000  0.500000     8.000000
28             0.800000  0.571429  0.666667     7.000000
124            0.000000  0.000000  0.000000     6.000000
258            0.545455  1.000000  0.705882     6.000000
207            0.000000  0.000000  0.000000     6.000000
46             0.750000  1.000000  0.857143     6.000000
105            0.333333  0.200000  0.250000     5.000000
22             0.333333  0.800000  0.470588     5.000000
246            0.400000  0.400000  0.400000     5.000000
98             0.666667  1.000000  0.800000     4.000000
179            0.666667  0.500000  0.571429     4.000000
92             0.000000  0.000000  0.000000     4.000000
88             1.000000  0.250000  0.400000     4.000000
247            0.000000  0.000000  0.000000     3.000000
193            1.000000  1.000000  1.000000     3.000000
255            0.000000  0.000000  0.000000     3.000000
104            0.300000  1.000000  0.461538     3.000000
248            0.666667  0.666667  0.666667     3.000000
86             0.500000  1.000000  0.666667     2.000000
101            0.000000  0.000000  0.000000     2.000000
76             0.000000  0.000000  0.000000     2.000000
44             1.000000  0.500000  0.666667     2.000000
111            0.000000  0.000000  0.000000     2.000000
293            0.000000  0.000000  0.000000     2.000000
278            1.000000  1.000000  1.000000     1.000000
57             1.000000  1.000000  1.000000     1.000000
294            0.500000  1.000000  0.666667     1.000000
95             1.000000  1.000000  1.000000     1.000000
242            0.500000  1.000000  0.666667     1.000000
232            0.000000  0.000000  0.000000     1.000000
205            0.000000  0.000000  0.000000     1.000000
53             0.062500  1.000000  0.117647     1.000000
134            0.250000  1.000000  0.400000     1.000000
114            0.000000  0.000000  0.000000     1.000000
38             0.000000  0.000000  0.000000     1.000000
accuracy       0.749464  0.749464  0.749464     0.749464
macro avg      0.136414  0.122929  0.113153  3728.000000
weighted avg   0.921244  0.749464  0.797510  3728.000000
