Fox: Class:101 ,Total images: 4, fed into model: 4, loss: 0
Ed Hardy: Class:86 ,Total images: 6, fed into model: 6, loss: 0
Hummel: Class:132 ,Total images: 93, fed into model: 90, loss: 3
Element: Class:88 ,Total images: 7, fed into model: 7, loss: 0
Zoggs: Class:293 ,Total images: 3, fed into model: 3, loss: 0
Givova: Class:114 ,Total images: 1, fed into model: 1, loss: 0
Calvin Klein: Class:49 ,Total images: 149, fed into model: 144, loss: 5
Lacoste: Class:295 ,Total images: 57, fed into model: 52, loss: 5
Nautica: Class:205 ,Total images: 1, fed into model: 1, loss: 0
H&M: Class:120 ,Total images: 2435, fed into model: 0, loss: 2435
Adidas: Class:8 ,Total images: 1909, fed into model: 1893, loss: 16
Hanes: Class:124 ,Total images: 9, fed into model: 9, loss: 0
Dolce & Gabbana: Class:79 ,Total images: 3, fed into model: 2, loss: 1
Star Wars: Class:261 ,Total images: 30, fed into model: 30, loss: 0
Puma: Class:235 ,Total images: 353, fed into model: 324, loss: 29
Dixie: Class:77 ,Total images: 1, fed into model: 1, loss: 0
Springfield: Class:259 ,Total images: 3, fed into model: 3, loss: 0
Nike: Class:208 ,Total images: 1103, fed into model: 1085, loss: 18
Vans: Class:284 ,Total images: 105, fed into model: 104, loss: 1
Morgan: Class:197 ,Total images: 4, fed into model: 3, loss: 1
Next: Class:203 ,Total images: 55, fed into model: 53, loss: 2
La Perla: Class:156 ,Total images: 1, fed into model: 1, loss: 0
Burberry: Class:44 ,Total images: 8, fed into model: 6, loss: 2
Escada: Class:95 ,Total images: 5, fed into model: 3, loss: 2
Sloggi: Class:255 ,Total images: 8, fed into model: 7, loss: 1
CCM: Class:46 ,Total images: 10, fed into model: 10, loss: 0
Batman: Class:28 ,Total images: 7, fed into model: 7, loss: 0
Geox: Class:111 ,Total images: 2, fed into model: 2, loss: 0
Bounce: Class:38 ,Total images: 1, fed into model: 1, loss: 0
Roxy: Class:246 ,Total images: 15, fed into model: 14, loss: 1
Russell: Class:247 ,Total images: 5, fed into model: 5, loss: 0
Ellesse: Class:90 ,Total images: 87, fed into model: 86, loss: 1
Mizuno: Class:193 ,Total images: 3, fed into model: 3, loss: 0
Diesel: Class:74 ,Total images: 79, fed into model: 73, loss: 6
Disney Pixar: Class:76 ,Total images: 8, fed into model: 7, loss: 1
C&A: Class:45 ,Total images: 39, fed into model: 34, loss: 5
And1: Class:5 ,Total images: 2, fed into model: 1, loss: 1
Boss: Class:37 ,Total images: 10, fed into model: 9, loss: 1
Imperial: Class:139 ,Total images: 1, fed into model: 1, loss: 0
Nickelodeon: Class:207 ,Total images: 11, fed into model: 11, loss: 0
Columbia: Class:61 ,Total images: 18, fed into model: 18, loss: 0
Tommy Hilfiger: Class:275 ,Total images: 366, fed into model: 352, loss: 14
Always: Class:12 ,Total images: 8, fed into model: 8, loss: 0
MP: Class:179 ,Total images: 6, fed into model: 6, loss: 0
Svea: Class:265 ,Total images: 30, fed into model: 29, loss: 1
Desigual: Class:70 ,Total images: 190, fed into model: 172, loss: 18
Arena: Class:22 ,Total images: 7, fed into model: 7, loss: 0
Zoo York: Class:294 ,Total images: 3, fed into model: 3, loss: 0
Hurley: Class:134 ,Total images: 2, fed into model: 1, loss: 1
Victoria's Secret: Class:286 ,Total images: 40, fed into model: 31, loss: 9
Detroit: Class:71 ,Total images: 1, fed into model: 1, loss: 0
Triumph: Class:279 ,Total images: 25, fed into model: 23, loss: 2
Zara: Class:292 ,Total images: 751, fed into model: 0, loss: 751
Cat: Class:53 ,Total images: 1, fed into model: 1, loss: 0
Emilio: Class:92 ,Total images: 5, fed into model: 5, loss: 0
Saucony: Class:250 ,Total images: 10, fed into model: 10, loss: 0
Buffalo: Class:43 ,Total images: 3, fed into model: 3, loss: 0
Reebok: Class:241 ,Total images: 99, fed into model: 97, loss: 2
Reef: Class:242 ,Total images: 1, fed into model: 1, loss: 0
Salewa: Class:248 ,Total images: 4, fed into model: 4, loss: 0
None: Class:211 ,Total images: 877, fed into model: 0, loss: 877
G-Star: Class:105 ,Total images: 8, fed into model: 8, loss: 0
Speedo: Class:258 ,Total images: 7, fed into model: 7, loss: 0
Gap: Class:109 ,Total images: 62, fed into model: 60, loss: 2
Pineapple: Class:232 ,Total images: 1, fed into model: 1, loss: 0
Fusion: Class:104 ,Total images: 5, fed into model: 5, loss: 0
Los Angeles: Class:170 ,Total images: 1, fed into model: 1, loss: 0
Trespass: Class:278 ,Total images: 3, fed into model: 3, loss: 0
Everlast: Class:98 ,Total images: 4, fed into model: 4, loss: 0
Chicago: Class:57 ,Total images: 1, fed into model: 1, loss: 0
