Classification report:
               precision    recall  f1-score      support
8              0.999192  0.877928  0.934643  1409.000000
208            0.865079  0.819549  0.841699   931.000000
235            0.889796  0.789855  0.836852   276.000000
275            1.000000  0.072034  0.134387   236.000000
49             0.966667  0.547170  0.698795   106.000000
284            0.928571  0.866667  0.896552    90.000000
90             0.987654  0.975610  0.981595    82.000000
241            1.000000  0.514286  0.679245    70.000000
132            0.980000  0.720588  0.830508    68.000000
109            0.893617  0.807692  0.848485    52.000000
70             0.500000  0.146341  0.226415    41.000000
74             0.777778  0.233333  0.358974    30.000000
203            1.000000  0.250000  0.400000    20.000000
265            1.000000  0.722222  0.838710    18.000000
261            0.909091  0.588235  0.714286    17.000000
45             1.000000  0.066667  0.125000    15.000000
61             0.529412  0.750000  0.620690    12.000000
295            1.000000  0.333333  0.500000    12.000000
250            1.000000  0.100000  0.181818    10.000000
286            0.500000  0.200000  0.285714    10.000000
46             0.857143  0.666667  0.750000     9.000000
37             0.583333  0.875000  0.700000     8.000000
279            0.333333  0.285714  0.307692     7.000000
207            0.000000  0.000000  0.000000     7.000000
258            0.750000  1.000000  0.857143     6.000000
124            0.000000  0.000000  0.000000     6.000000
28             1.000000  0.600000  0.750000     5.000000
86             0.500000  0.800000  0.615385     5.000000
22             0.307692  0.800000  0.444444     5.000000
98             0.666667  1.000000  0.800000     4.000000
88             1.000000  0.250000  0.400000     4.000000
179            0.666667  0.500000  0.571429     4.000000
293            0.500000  0.333333  0.400000     3.000000
193            1.000000  0.666667  0.800000     3.000000
248            0.666667  0.666667  0.666667     3.000000
255            0.000000  0.000000  0.000000     3.000000
105            0.500000  0.333333  0.400000     3.000000
104            0.230769  1.000000  0.375000     3.000000
246            0.666667  0.666667  0.666667     3.000000
44             1.000000  0.500000  0.666667     2.000000
247            0.000000  0.000000  0.000000     2.000000
111            1.000000  0.500000  0.666667     2.000000
92             0.000000  0.000000  0.000000     2.000000
101            0.000000  0.000000  0.000000     2.000000
294            0.500000  1.000000  0.666667     1.000000
278            1.000000  1.000000  1.000000     1.000000
95             1.000000  1.000000  1.000000     1.000000
76             0.000000  0.000000  0.000000     1.000000
242            0.500000  1.000000  0.666667     1.000000
205            0.000000  0.000000  0.000000     1.000000
53             0.062500  1.000000  0.117647     1.000000
134            0.250000  1.000000  0.400000     1.000000
114            0.000000  0.000000  0.000000     1.000000
57             0.500000  1.000000  0.666667     1.000000
accuracy       0.745299  0.745299  0.745299     0.745299
macro avg      0.149417  0.127547  0.120751  3616.000000
weighted avg   0.925525  0.745299  0.795021  3616.000000
