Springfield: Class:259 ,Total images: 3, fed into model: 0, loss: 3
Puma: Class:235 ,Total images: 353, fed into model: 276, loss: 77
Imperial: Class:139 ,Total images: 1, fed into model: 0, loss: 1
Buffalo: Class:43 ,Total images: 3, fed into model: 0, loss: 3
Diesel: Class:74 ,Total images: 79, fed into model: 30, loss: 49
Zoo York: Class:294 ,Total images: 3, fed into model: 1, loss: 2
Nike: Class:208 ,Total images: 1103, fed into model: 931, loss: 172
Next: Class:203 ,Total images: 55, fed into model: 20, loss: 35
Reef: Class:242 ,Total images: 1, fed into model: 1, loss: 0
Russell: Class:247 ,Total images: 5, fed into model: 2, loss: 3
Hanes: Class:124 ,Total images: 9, fed into model: 6, loss: 3
Detroit: Class:71 ,Total images: 1, fed into model: 0, loss: 1
Trespass: Class:278 ,Total images: 3, fed into model: 1, loss: 2
Ed Hardy: Class:86 ,Total images: 6, fed into model: 5, loss: 1
Roxy: Class:246 ,Total images: 15, fed into model: 3, loss: 12
Adidas: Class:8 ,Total images: 1909, fed into model: 1409, loss: 500
Sloggi: Class:255 ,Total images: 8, fed into model: 3, loss: 5
Zoggs: Class:293 ,Total images: 3, fed into model: 3, loss: 0
Batman: Class:28 ,Total images: 7, fed into model: 5, loss: 2
Calvin Klein: Class:49 ,Total images: 149, fed into model: 106, loss: 43
Triumph: Class:279 ,Total images: 25, fed into model: 7, loss: 18
Emilio: Class:92 ,Total images: 5, fed into model: 2, loss: 3
Lacoste: Class:295 ,Total images: 57, fed into model: 12, loss: 45
MP: Class:179 ,Total images: 6, fed into model: 4, loss: 2
Nickelodeon: Class:207 ,Total images: 11, fed into model: 7, loss: 4
Dixie: Class:77 ,Total images: 1, fed into model: 0, loss: 1
None: Class:211 ,Total images: 877, fed into model: 0, loss: 877
Mizuno: Class:193 ,Total images: 3, fed into model: 3, loss: 0
Vans: Class:284 ,Total images: 105, fed into model: 90, loss: 15
Cat: Class:53 ,Total images: 1, fed into model: 1, loss: 0
Nautica: Class:205 ,Total images: 1, fed into model: 1, loss: 0
Victoria's Secret: Class:286 ,Total images: 40, fed into model: 10, loss: 30
CCM: Class:46 ,Total images: 10, fed into model: 9, loss: 1
Geox: Class:111 ,Total images: 2, fed into model: 2, loss: 0
Hurley: Class:134 ,Total images: 2, fed into model: 1, loss: 1
Tommy Hilfiger: Class:275 ,Total images: 366, fed into model: 236, loss: 130
Hummel: Class:132 ,Total images: 93, fed into model: 68, loss: 25
Zara: Class:292 ,Total images: 751, fed into model: 0, loss: 751
Pineapple: Class:232 ,Total images: 1, fed into model: 0, loss: 1
Burberry: Class:44 ,Total images: 8, fed into model: 2, loss: 6
Dolce & Gabbana: Class:79 ,Total images: 3, fed into model: 0, loss: 3
Speedo: Class:258 ,Total images: 7, fed into model: 6, loss: 1
Bounce: Class:38 ,Total images: 1, fed into model: 0, loss: 1
And1: Class:5 ,Total images: 2, fed into model: 0, loss: 2
H&M: Class:120 ,Total images: 2435, fed into model: 0, loss: 2435
Ellesse: Class:90 ,Total images: 87, fed into model: 82, loss: 5
Fusion: Class:104 ,Total images: 5, fed into model: 3, loss: 2
Element: Class:88 ,Total images: 7, fed into model: 4, loss: 3
G-Star: Class:105 ,Total images: 8, fed into model: 3, loss: 5
Star Wars: Class:261 ,Total images: 30, fed into model: 17, loss: 13
La Perla: Class:156 ,Total images: 1, fed into model: 0, loss: 1
Chicago: Class:57 ,Total images: 1, fed into model: 1, loss: 0
Columbia: Class:61 ,Total images: 18, fed into model: 12, loss: 6
Escada: Class:95 ,Total images: 5, fed into model: 1, loss: 4
Svea: Class:265 ,Total images: 30, fed into model: 18, loss: 12
Reebok: Class:241 ,Total images: 99, fed into model: 70, loss: 29
Boss: Class:37 ,Total images: 10, fed into model: 8, loss: 2
Everlast: Class:98 ,Total images: 4, fed into model: 4, loss: 0
C&A: Class:45 ,Total images: 39, fed into model: 15, loss: 24
Fox: Class:101 ,Total images: 4, fed into model: 2, loss: 2
Arena: Class:22 ,Total images: 7, fed into model: 5, loss: 2
Morgan: Class:197 ,Total images: 4, fed into model: 0, loss: 4
Disney Pixar: Class:76 ,Total images: 8, fed into model: 1, loss: 7
Los Angeles: Class:170 ,Total images: 1, fed into model: 0, loss: 1
Always: Class:12 ,Total images: 8, fed into model: 0, loss: 8
Saucony: Class:250 ,Total images: 10, fed into model: 10, loss: 0
Givova: Class:114 ,Total images: 1, fed into model: 1, loss: 0
Desigual: Class:70 ,Total images: 190, fed into model: 41, loss: 149
Gap: Class:109 ,Total images: 62, fed into model: 52, loss: 10
Salewa: Class:248 ,Total images: 4, fed into model: 3, loss: 1
